District,Year,Season,Average_Yield,Rainfall,Temperature_Max,Temperature_Min
ANURADHAPURA,1995,Maha,3700.0,972.2,31.18,22.08
ANURADHAPURA,1996,Maha,3989.0,551.4,30.82,21.68
ANURADHAPURA,1997,Maha,4264.0,1312.0,31.72,22.0
ANURADHAPURA,1998,Maha,4294.0,555.6,31.7,22.72
ANURADHAPURA,1999,Maha,4400.0,974.0,30.44,21.98
ANURADHAPURA,2000,Maha,4475.0,872.2,30.6,21.88
ANURADHAPURA,2001,Maha,4323.0,664.0,31.08,22.36
ANURADHAPURA,2002,Maha,4341.0,1245.8,31.24,22.04
ANURADHAPURA,2003,Maha,4524.0,508.7,31.02,22.34
ANURADHAPURA,2004,Maha,4549.0,919.9,31.14,22.3
ANURADHAPURA,2005,Maha,4520.0,800.1,31.28,22.38
ANURADHAPURA,2006,Maha,4726.0,1152.5,30.7,22.22
ANURADHAPURA,2007,Maha,4311.0,1021.5,30.66,21.4
ANURADHAPURA,2008,Maha,4633.0,1126.5,30.64,21.78
ANURADHAPURA,2009,Maha,4924.0,797.6,31.36,21.98
ANURADHAPURA,2010,Maha,4463.0,907.3,31.18,22.34
ANURADHAPURA,2011,Maha,4982.0,1123.7,31.02,22.14
ANURADHAPURA,2012,Maha,4467.0,1170.2,31.46,21.98
ANURADHAPURA,2013,Maha,3898.0,842.2,30.98,22.34
ANURADHAPURA,2014,Maha,4802.0,1266.0,30.62,22.42
ANURADHAPURA,2015,Maha,4748.0,991.0,31.2,22.26
ANURADHAPURA,2016,Maha,4608.0,445.3,32.18,22.28
ANURADHAPURA,2017,Maha,4414.0,847.6,31.42,22.24
ANURADHAPURA,2018,Maha,5414.0,801.5,30.96,21.84
ANURADHAPURA,2019,Maha,5574.0,1155.0,31.34,22.38
ANURADHAPURA,2020,Maha,5098.0,476.5,31.64,22.7
ANURADHAPURA,2021,Maha,2873.0,935.6,30.62,22.66
ANURADHAPURA,2022,Maha,3849.0,678.0,31.12,22.16
ANURADHAPURA,2023,Maha,4637.0,1377.1,31.02,22.42
ANURADHAPURA,2024,Maha,4263.0,991.6,30.9,22.5
ANURADHAPURA,1996,Yala,3828.0,569.8,32.65,24.38
ANURADHAPURA,1997,Yala,3455.0,572.0,33.22,24.33
ANURADHAPURA,1998,Yala,3870.0,462.5,33.27,24.82
